checkpoints\simsiamwosg\checkpoint_0199.pth.tar:[{'beta': 1, 'acc': 0.5337500000000001}, {'beta': 2, 'acc': 0.5025000000000001}, {'beta': 5, 'acc': 0.44958333333333333}, {'beta': 10, 'acc': 0.491875}, {'beta': 50, 'acc': 0.35791666666666666}, {'beta': 100, 'acc': 0.34124999999999994}]
checkpoints\simsiamwopred\checkpoint_0199.pth.tar:[{'beta': 1, 'acc': 0.5216666666666667}, {'beta': 2, 'acc': 0.5575}, {'beta': 5, 'acc': 0.49520833333333336}, {'beta': 10, 'acc': 0.4604166666666667}, {'beta': 50, 'acc': 0.3891666666666667}, {'beta': 100, 'acc': 0.3704166666666667}]
checkpoints/simsiamda/checkpoint_0000.pth.tar:[{'beta': 1, 'acc': 0.8741666666666668}, {'beta': 2, 'acc': 0.913125}, {'beta': 5, 'acc': 0.8466666666666667}, {'beta': 10, 'acc': 0.8797916666666667}, {'beta': 50, 'acc': 0.8129166666666666}, {'beta': 100, 'acc': 0.7566666666666666}]
checkpoints/simsiamda/checkpoint_0001.pth.tar:[{'beta': 1, 'acc': 0.9018749999999999}, {'beta': 2, 'acc': 0.9106249999999999}, {'beta': 5, 'acc': 0.9}, {'beta': 10, 'acc': 0.9014583333333335}, {'beta': 50, 'acc': 0.7864583333333333}, {'beta': 100, 'acc': 0.7566666666666666}]
checkpoints/simsiamda/checkpoint_0002.pth.tar:[{'beta': 1, 'acc': 0.9272916666666667}, {'beta': 2, 'acc': 0.9408333333333333}, {'beta': 5, 'acc': 0.9229166666666666}, {'beta': 10, 'acc': 0.9339583333333333}, {'beta': 50, 'acc': 0.8254166666666667}, {'beta': 100, 'acc': 0.7827083333333333}]
checkpoints/simsiamda/checkpoint_0003.pth.tar:[{'beta': 1, 'acc': 0.915625}, {'beta': 2, 'acc': 0.9302083333333334}, {'beta': 5, 'acc': 0.8983333333333332}, {'beta': 10, 'acc': 0.905625}, {'beta': 50, 'acc': 0.7979166666666666}, {'beta': 100, 'acc': 0.79125}]
checkpoints/simsiamda/checkpoint_0000.pth.tar:[{'beta': 1, 'acc': 0.8800000000000001}, {'beta': 2, 'acc': 0.8764583333333335}, {'beta': 5, 'acc': 0.859375}, {'beta': 10, 'acc': 0.8779166666666667}, {'beta': 50, 'acc': 0.76}, {'beta': 100, 'acc': 0.6475000000000001}]
checkpoints/simsiamda/checkpoint_0001.pth.tar:[{'beta': 1, 'acc': 0.875}, {'beta': 2, 'acc': 0.8939583333333333}, {'beta': 5, 'acc': 0.8370833333333335}, {'beta': 10, 'acc': 0.896875}, {'beta': 50, 'acc': 0.7552083333333334}, {'beta': 100, 'acc': 0.6639583333333333}]
checkpoints/simsiamda/checkpoint_0000.pth.tar:[{'beta': 1, 'acc': 0.8658333333333333}, {'beta': 2, 'acc': 0.8635416666666667}, {'beta': 5, 'acc': 0.8545833333333335}, {'beta': 10, 'acc': 0.8677083333333334}, {'beta': 50, 'acc': 0.7325}, {'beta': 100, 'acc': 0.6191666666666668}]
checkpoints/simsiamda/checkpoint_0001.pth.tar:[{'beta': 1, 'acc': 0.8816666666666666}, {'beta': 2, 'acc': 0.915}, {'beta': 5, 'acc': 0.8479166666666668}, {'beta': 10, 'acc': 0.875625}, {'beta': 50, 'acc': 0.7333333333333334}, {'beta': 100, 'acc': 0.6568750000000001}]
checkpoints/simsiamda/checkpoint_0002.pth.tar:[{'beta': 1, 'acc': 0.8833333333333334}, {'beta': 2, 'acc': 0.9199999999999999}, {'beta': 5, 'acc': 0.880625}, {'beta': 10, 'acc': 0.9052083333333334}, {'beta': 50, 'acc': 0.7639583333333333}, {'beta': 100, 'acc': 0.6752083333333334}]
